conn,total_connections,pkts_rate,unique_dports,most_common_dst_port,duration,mean_total_pkts,median_total_pkts,mode_total_pkts,mean_total_data,median_total_data,mode_total_data,mean_bytes_sent,median_bytes_sent,mode_bytes_sent,mean_bytes_recv,median_bytes_recv,mode_bytes_recv,gap_between_conns,max_in,max_out,max_total,avg_in,avg_out,avg_total,std_in,std_out,std_total,75th_percentile_in,75th_percentile_out,75th_percentile_total,nb_pkts_in,nb_pkts_out,nb_pkts_total,nb_pkts_in_f30,nb_pkts_out_f30,nb_pkts_in_l30,nb_pkts_out_l30,std_pkt_conc_out20,avg_pkt_conc_out20,avg_per_sec,std_per_sec,avg_order_in,avg_order_out,std_order_in,std_order_out,medconc,med_per_sec,min_per_sec,max_per_sec,maxconc,perc_in,perc_out,sum_altconc,sum_alt_per_sec,sum_number_pkts,sum_intertimestats,number
normal_conn_1000,50,58.049758074338165,2,443,0.8613300323486328,627.68,52.0,40,627.68,52.0,40,970.84,1500.0,1500,284.52,40.0,40,24.269184112548828,0.22437691688537598,0.22470402717590332,0.22437691688537598,0.025782664616902668,0.0358887513478597,0.017578163925482303,0.061515900097218176,0.07241078423783409,0.05367742392700074,0.013955891132354736,0.016193151473999023,0.00011014938354492188,25.0,25.0,50.0,15.0,15.0,15.0,15.0,2.357022603955158,8.333333333333334,0.9803921568627451,0.1386483884679505,23.84,25.16,14.36295234274625,14.468393138147718,10.0,1.0,0.0,1.0,10.0,0.5,0.5,20.0,49.0,100.0,0.9705707410888517,0
normal_conn_1002,50,18.809820220929858,2,443,2.6581859588623047,586.26,52.0,40,586.26,52.0,40,879.6,1356.0,1500,292.92,40.0,40,39.793253898620605,0.5736269950866699,0.5728321075439453,0.5728321075439453,0.10464799404144287,0.1107567052046458,0.05424869303800622,0.1650086953293688,0.16103846001406058,0.12290888900340256,0.15267521142959595,0.15329253673553467,0.013872861862182617,25.0,25.0,50.0,15.0,15.0,15.0,15.0,2.357022603955158,8.333333333333334,0.9803921568627451,0.1386483884679505,24.84,24.16,14.337865949994093,14.51531604891881,10.0,1.0,0.0,1.0,10.0,0.5,0.5,20.0,49.0,100.0,2.7577412568328006,0
normal_conn_1003,50,33.32724682385117,2,36845,1.5002739429473877,644.22,62.5,40,644.22,62.5,40,555.2380952380952,60.0,40,708.6551724137931,537.0,1480,8.047756910324097,0.5562570095062256,0.5555768013000488,0.5555768013000488,0.048475214413234165,0.07501369714736938,0.03061783557035485,0.1129570726806317,0.12854528469838578,0.08991192570834101,0.0219419002532959,0.14373928308486938,0.0008890628814697266,29.0,21.0,50.0,15.0,15.0,19.0,11.0,2.449489742783178,7.0,0.9803921568627451,0.1386483884679505,26.448275862068964,21.80952380952381,14.060426752969635,14.50326415679636,7.0,1.0,0.0,1.0,10.0,0.58,0.42,17.0,49.0,100.0,2.3195018885442753,0
normal_conn_1005,50,11.111335994421104,2,47323,4.499908924102783,593.28,64.0,40,593.28,64.0,40,293.7894736842105,40.0,40,776.8387096774194,678.0,1480,1.31056809425354,2.0028510093688965,0.9937119483947754,2.0018298625946045,0.14523473580678303,0.1387821700837877,0.09183487600209761,0.3993713393089747,0.23754071405761706,0.3177871861019589,0.09573221206665039,0.1473982334136963,0.0036950111389160156,31.0,19.0,50.0,19.0,11.0,19.0,11.0,1.247219128924647,6.333333333333333,0.9803921568627451,0.1386483884679505,24.870967741935484,23.894736842105264,13.611527219861259,15.657164954244818,6.0,1.0,0.0,1.0,8.0,0.62,0.38,14.0,49.0,100.0,6.575769298338758,0
normal_conn_1006,50,7.278948591994217,2,33793,6.869123935700372,473.94,42.0,40,473.94,42.0,40,682.7083333333334,106.0,40,281.2307692307692,40.0,40,0.9178640842437744,2.3137481212615967,2.313481092453003,2.313481092453003,0.2690759563446045,0.29865625630254333,0.1401862027693768,0.5821790515160041,0.593737002840198,0.4328180214171836,0.14590215682983398,0.21126854419708252,0.035192012786865234,26.0,24.0,50.0,15.0,15.0,16.0,14.0,2.8284271247461903,8.0,0.9803921568627451,0.1386483884679505,24.884615384615383,24.083333333333332,14.428409270700643,14.421964344552913,10.0,1.0,0.0,1.0,10.0,0.52,0.48,20.0,49.0,100.0,9.649725511171296,0
normal_conn_1007,50,10.95847405138342,2,443,4.562679052352905,517.2,46.0,40,517.2,46.0,40,755.64,709.0,1500,278.76,40.0,40,8.49442982673645,2.2996320724487305,2.299283981323242,2.299283981323242,0.18410604198773703,0.19011162718137106,0.0931158990276103,0.46185799392131305,0.4601185600719697,0.3356718353638126,0.14438098669052124,0.14648151397705078,0.0030930042266845703,25.0,25.0,50.0,15.0,15.0,15.0,15.0,2.357022603955158,8.333333333333334,0.9803921568627451,0.1386483884679505,24.72,24.28,14.418099736095598,14.440277005653321,10.0,1.0,0.0,1.0,10.0,0.5,0.5,20.0,49.0,100.0,8.917137497543285,0
normal_conn_1011,50,38.674602899444466,2,38543,1.2928380966186523,642.14,54.0,40,642.14,54.0,40,942.2083333333334,1392.0,1500,365.15384615384613,40.0,40,6.193621158599882,0.30004119873046875,0.2970008850097656,0.2970008850097656,0.04599972724914551,0.056210352026897926,0.02638445095140107,0.08113734933880307,0.08418552569335917,0.06383818630952863,0.05635714530944824,0.1352519989013672,0.003007173538208008,26.0,24.0,50.0,17.0,13.0,15.0,15.0,2.160246899469287,8.0,0.9803921568627451,0.1386483884679505,23.576923076923077,25.5,13.937147586225695,14.882876066137216,9.0,1.0,0.0,1.0,10.0,0.52,0.48,19.0,49.0,100.0,1.4464148780681587,0
normal_conn_1017,50,5.494081061032668,2,48254,9.100703001022339,220.78,71.0,40,220.78,71.0,40,180.08695652173913,71.0,40,255.44444444444446,71.0,40,4.051357030868502,8.138065099716187,8.13806700706482,8.13799500465393,0.345493536729079,0.4135742729360407,0.18572863267392528,1.5594421938546745,1.686725174665827,1.148683927304837,0.04622316360473633,0.11269158124923706,0.0026581287384033203,27.0,23.0,50.0,14.0,16.0,18.0,12.0,2.8674417556808756,7.666666666666667,0.9803921568627451,0.1386483884679505,26.22222222222222,22.47826086956522,14.184846722584275,14.454936166725917,8.0,1.0,0.0,1.0,11.0,0.54,0.46,19.0,49.0,100.0,29.915347723191697,0
normal_conn_1018,50,0.40814261836823323,2,443,122.50619697570801,316.14,42.0,40,316.14,42.0,40,152.96,40.0,40,479.32,80.0,40,27.354999780654936,119.68580102920532,119.68631887435913,119.68580102920532,5.098829209804535,5.104424873987834,2.500126468892,23.89374369187354,23.892669562964134,16.914882670223832,0.18056321144104004,0.18132561445236206,0.012830018997192383,25.0,25.0,50.0,14.0,16.0,15.0,15.0,1.699673171197595,8.333333333333334,0.9803921568627451,0.1386483884679505,24.72,24.28,14.456887631852162,14.401444372006582,9.0,1.0,0.0,1.0,10.0,0.5,0.5,19.0,49.0,100.0,436.8373162554063,0
normal_conn_1021,50,48.6810300502908,2,443,1.0270941257476807,376.96,46.0,40,376.96,46.0,40,83.6,40.0,40,670.32,103.0,1480,0.8739600181579021,0.4620039463043213,0.45953893661499023,0.457643985748291,0.037968715031941734,0.04279558857282003,0.020961104607095524,0.098688818749237,0.099019968807999,0.07187125209388379,0.01046299934387207,0.014432251453399658,0.0017008781433105469,25.0,25.0,50.0,15.0,15.0,15.0,15.0,2.357022603955158,8.333333333333334,0.9803921568627451,0.1386483884679505,24.84,24.16,14.084544721076362,14.76124655982685,10.0,1.0,0.0,1.0,10.0,0.5,0.5,20.0,49.0,100.0,1.7770884454711617,0
