conn,total_connections,pkts_rate,unique_dports,most_common_dst_port,duration,mean_total_pkts,median_total_pkts,mode_total_pkts,mean_total_data,median_total_data,mode_total_data,mean_bytes_sent,median_bytes_sent,mode_bytes_sent,mean_bytes_recv,median_bytes_recv,mode_bytes_recv,gap_between_conns,max_in,max_out,max_total,avg_in,avg_out,avg_total,std_in,std_out,std_total,75th_percentile_in,75th_percentile_out,75th_percentile_total,nb_pkts_in,nb_pkts_out,nb_pkts_total,nb_pkts_in_f30,nb_pkts_out_f30,nb_pkts_in_l30,nb_pkts_out_l30,std_pkt_conc_out20,avg_pkt_conc_out20,avg_per_sec,std_per_sec,avg_order_in,avg_order_out,std_order_in,std_order_out,medconc,med_per_sec,min_per_sec,max_per_sec,maxconc,perc_in,perc_out,sum_altconc,sum_alt_per_sec,sum_number_pkts,sum_intertimestats,number
proxy_conn_1,50,0.1040604500215718,2,40559,480.4899458885193,220.86,64.0,40,220.86,64.0,40,256.17857142857144,54.0,40,175.9090909090909,68.0,40,0.0020329952239990234,60.01314187049866,60.01420497894287,60.01314187049866,17.790906076078063,22.88038318497794,9.805917263031006,27.310145805836846,29.02593969518119,22.11846485231591,59.50101447105408,59.99788784980774,0.13630986213684082,28.0,22.0,50.0,15.0,15.0,18.0,12.0,3.0912061651652345,7.333333333333333,0.9803921568627451,0.1386483884679505,26.25,22.272727272727273,14.551938996966301,13.961576552621512,9.0,1.0,0.0,1.0,10.0,0.56,0.44,19.0,49.0,100.0,428.6074577803598,0
proxy_conn_10,50,0.09245784540517102,2,58043,540.7869908809662,223.4,64.0,40,223.4,64.0,40,249.55172413793105,64.0,40,187.28571428571428,68.0,68,0.0011799335479736328,60.01747798919678,60.02179312705994,60.01747798919678,19.305021030562266,24.03935350179672,11.036469201652372,27.971983535626098,29.31674456207996,23.200510719405184,59.9930654168129,60.00010442733765,0.24640202522277832,29.0,21.0,50.0,15.0,15.0,20.0,10.0,3.265986323710904,7.0,0.9803921568627451,0.1386483884679505,26.862068965517242,21.238095238095237,14.340019087976122,13.910957523802052,7.0,1.0,0.0,1.0,11.0,0.58,0.42,18.0,49.0,100.0,435.1664035259495,0
proxy_conn_100,50,0.09246499858351641,2,50335,540.7451550960541,224.06,64.0,40,224.06,64.0,40,249.55172413793105,64.0,40,188.85714285714286,68.0,68,0.018743038177490234,60.00564694404602,60.008450984954834,60.00564694404602,19.304024500506266,27.037257754802702,11.035615410123553,27.987834598409925,29.791381663275228,23.211360938530795,59.99443006515503,60.00044399499893,0.23090505599975586,29.0,21.0,50.0,16.0,14.0,19.0,11.0,2.449489742783178,7.0,0.9803921568627451,0.1386483884679505,26.03448275862069,22.38095238095238,14.077330170613365,14.643302354826771,7.0,1.0,0.0,1.0,10.0,0.58,0.42,17.0,49.0,100.0,438.612998854849,0
proxy_conn_101,50,0.09243916721026942,2,32807,540.8962619304657,223.52,64.0,40,223.52,64.0,40,249.55172413793105,64.0,40,187.57142857142858,68.0,68,0.0009388923645019531,60.09146308898926,60.004157066345215,60.09146308898926,19.308946754251206,24.04013350009918,11.03869922307073,27.99154247171348,29.335592612748485,23.21479190881248,59.996549010276794,60.00040817260742,0.24575281143188477,29.0,21.0,50.0,15.0,15.0,20.0,10.0,3.265986323710904,7.0,0.9803921568627451,0.1386483884679505,26.82758620689655,21.285714285714285,14.381666887028947,13.870636532730906,7.0,1.0,0.0,1.0,11.0,0.58,0.42,18.0,49.0,100.0,435.35949970933535,0
proxy_conn_102,50,0.09244635462376706,2,35649,540.854208946228,224.02,64.0,40,224.02,64.0,40,249.55172413793105,64.0,40,188.76190476190476,68.0,68,0.001013040542602539,60.04956007003784,60.05268716812134,60.04956007003784,19.307440178734915,27.0427104473114,11.037840998902613,27.990446901051218,29.792461794007956,23.213728921413853,59.99744600057602,60.00077748298645,0.24491286277770996,29.0,21.0,50.0,16.0,14.0,19.0,11.0,2.449489742783178,7.0,0.9803921568627451,0.1386483884679505,26.03448275862069,22.38095238095238,14.077330170613365,14.643302354826771,7.0,1.0,0.0,1.0,10.0,0.58,0.42,17.0,49.0,100.0,438.7795728959592,0
proxy_conn_103,50,0.09251752352530217,2,42633,540.4381580352801,223.46,64.0,40,223.46,64.0,40,249.55172413793105,64.0,40,187.42857142857142,68.0,68,610.4388320446014,59.99932408332825,60.003085136413574,59.99932408332825,19.29638432604926,24.021931600570678,11.029350163985272,28.0010236520496,29.361131065099897,23.219781924133617,59.996223747730255,60.000437557697296,0.13939690589904785,29.0,21.0,50.0,15.0,15.0,20.0,10.0,3.265986323710904,7.0,0.9803921568627451,0.1386483884679505,26.82758620689655,21.285714285714285,14.381666887028947,13.870636532730906,7.0,1.0,0.0,1.0,11.0,0.58,0.42,18.0,49.0,100.0,435.06739424628495,0
proxy_conn_104,50,0.7760893693506352,2,443,64.42557001113892,257.44,52.0,40,257.44,52.0,40,298.28,40.0,40,216.6,68.0,40,0.019479036331176758,59.84312200546265,59.84393906593323,59.84312200546265,2.6786813338597617,2.684397836526235,1.314807551247733,11.934247620653322,11.933628891717623,8.45847335299936,0.1376887559890747,0.1380479335784912,0.018761157989501953,25.0,25.0,50.0,15.0,15.0,16.0,14.0,2.494438257849294,8.333333333333334,0.9803921568627451,0.1386483884679505,24.88,24.12,14.331280473146842,14.519834709803,9.0,1.0,0.0,1.0,11.0,0.5,0.5,20.0,49.0,100.0,218.82891751141963,0
proxy_conn_105,50,0.09247090431994996,2,58517,540.7106199264545,223.5,64.0,40,223.5,64.0,40,249.55172413793105,64.0,40,187.52380952380952,68.0,68,0.010822057723999023,60.001157999038696,60.0040500164032,60.001157999038696,19.302953107016428,24.035537898540497,11.034910610743932,27.99013405072605,29.341508919201093,23.21277068597335,59.996213495731354,60.000204384326935,0.22793292999267578,29.0,21.0,50.0,15.0,15.0,20.0,10.0,3.265986323710904,7.0,0.9803921568627451,0.1386483884679505,26.82758620689655,21.285714285714285,14.381666887028947,13.870636532730906,7.0,1.0,0.0,1.0,11.0,0.58,0.42,18.0,49.0,100.0,435.1485320967329,0
proxy_conn_106,50,0.0924448542384096,2,60987,540.8629870414752,223.48,64.0,40,223.48,64.0,40,249.55172413793105,64.0,40,187.47619047619048,68.0,68,0.05096793174743652,60.082165002822876,60.08637499809265,60.082165002822876,19.307739785739354,24.04314215183258,11.03802014370354,27.99132493306415,29.341851847454098,23.214391410542028,59.996277987957,60.00022375583649,0.24627304077148438,29.0,21.0,50.0,15.0,15.0,20.0,10.0,3.265986323710904,7.0,0.9803921568627451,0.1386483884679505,26.862068965517242,21.238095238095237,14.332803315883304,13.921223132855074,7.0,1.0,0.0,1.0,11.0,0.58,0.42,18.0,49.0,100.0,435.4299500606391,0
proxy_conn_107,50,0.09245066643461013,2,39733,540.8289840221405,224.02,64.0,40,224.02,64.0,40,249.55172413793105,64.0,40,188.76190476190476,68.0,68,0.0018088817596435547,60.036272048950195,60.04265999794006,60.036272048950195,19.306397216660635,27.041449201107024,11.03732620453348,27.98811610110875,29.790396332391865,23.21187298276834,59.992718517780304,60.000446796417236,0.24913907051086426,29.0,21.0,50.0,16.0,14.0,19.0,11.0,2.449489742783178,7.0,0.9803921568627451,0.1386483884679505,26.03448275862069,22.38095238095238,14.077330170613365,14.643302354826771,7.0,1.0,0.0,1.0,10.0,0.58,0.42,17.0,49.0,100.0,438.73306651911895,0
