conn,total_connections,pkts_rate,unique_dports,most_common_dst_port,duration,mean_total_pkts,median_total_pkts,mode_total_pkts,mean_total_data,median_total_data,mode_total_data,mean_bytes_sent,median_bytes_sent,mode_bytes_sent,mean_bytes_recv,median_bytes_recv,mode_bytes_recv,gap_between_conns,max_in,max_out,max_total,avg_in,avg_out,avg_total,std_in,std_out,std_total,75th_percentile_in,75th_percentile_out,75th_percentile_total,nb_pkts_in,nb_pkts_out,nb_pkts_total,nb_pkts_in_f30,nb_pkts_out_f30,nb_pkts_in_l30,nb_pkts_out_l30,std_pkt_conc_out20,avg_pkt_conc_out20,avg_per_sec,std_per_sec,avg_order_in,avg_order_out,std_order_in,std_order_out,medconc,med_per_sec,min_per_sec,max_per_sec,maxconc,perc_in,perc_out,sum_altconc,sum_alt_per_sec,sum_number_pkts,sum_intertimestats,number
normal_conn_10,50,0.20758035191043753,2,58414,240.87058115005493,349.34,52.0,40,349.34,52.0,40,78.91666666666667,40.0,40,598.9615384615385,104.5,40,20.556905031204195,239.9920778274536,239.99251198768616,239.9920778274536,9.6302747631073,10.467696915502133,4.915726145919488,47.02242868220369,48.934877545724525,33.93037093060963,0.08127212524414062,0.09226655960083008,0.010062932968139648,26.0,24.0,50.0,15.0,15.0,17.0,13.0,2.943920288775949,8.0,0.9803921568627451,0.1386483884679505,25.615384615384617,23.291666666666668,14.754600125115928,13.97163545266703,9.0,1.0,0.0,1.0,11.0,0.52,0.48,20.0,49.0,100.0,875.0616442434732,0
normal_conn_101,50,81.256175137955,2,443,0.6153378486633301,635.8,52.0,40,635.8,52.0,40,99.84,40.0,40,1171.76,1436.0,1480,32.722467899322524,0.25336599349975586,0.2530550956726074,0.2530550956726074,0.02085637052853902,0.025639077027638752,0.01255791527884347,0.057865807030193894,0.060637884269006403,0.04427158415636579,0.0013668537139892578,0.003458857536315918,0.00019097328186035156,25.0,25.0,50.0,15.0,15.0,14.0,16.0,1.699673171197595,8.333333333333334,0.9803921568627451,0.1386483884679505,24.16,24.84,13.92459694210213,14.912223174295642,9.0,1.0,0.0,1.0,10.0,0.5,0.5,19.0,49.0,100.0,0.9863215076677236,0
normal_conn_102,50,60.983859786254996,2,44610,0.8198890686035156,591.36,75.0,40,591.36,75.0,40,165.47826086956522,40.0,40,954.1481481481482,1400.0,40,3.300581932067871,0.1578350067138672,0.15941715240478516,0.1578350067138672,0.026816349763136644,0.03701477701013738,0.016732429971500318,0.04768581453669968,0.053682077288991444,0.04014806874658424,0.01319807767868042,0.06763714551925659,0.005252838134765625,27.0,23.0,50.0,14.0,16.0,18.0,12.0,3.39934634239519,7.666666666666667,0.9803921568627451,0.1386483884679505,26.296296296296298,22.391304347826086,14.541931235580666,14.008504033450484,9.0,1.0,0.0,1.0,11.0,0.54,0.46,20.0,49.0,100.0,0.783254744482272,0
normal_conn_103,50,48.94790635079039,2,33530,1.0214941501618,524.62,65.5,40,524.62,65.5,40,92.625,40.0,40,923.3846153846154,1400.0,40,1.5743060111999512,0.32380008697509766,0.326977014541626,0.32380008697509766,0.03202300071716309,0.044411089109337845,0.020846819391055982,0.08063205980324449,0.09211204568401152,0.06633852273345753,0.01082301139831543,0.011031508445739746,0.002702951431274414,26.0,24.0,50.0,16.0,14.0,17.0,13.0,2.943920288775949,8.0,0.9803921568627451,0.1386483884679505,25.23076923076923,23.708333333333332,14.393662313424592,14.429365794178976,9.0,1.0,0.0,1.0,11.0,0.52,0.48,20.0,49.0,100.0,1.3354981972054212,0
normal_conn_105,50,5.744307022324068,2,48240,8.704270124435425,302.2,65.5,40,302.2,65.5,40,189.16666666666666,50.0,40,406.53846153846155,71.0,40,7.034824132919283,8.00742506980896,8.007456064224243,8.00737714767456,0.34357820510864256,0.3784465271493663,0.1776381658048046,1.5649510935124806,1.6272508352684152,1.1306841673264219,0.026838064193725586,0.059970974922180176,0.0028738975524902344,26.0,24.0,50.0,14.0,16.0,17.0,13.0,2.449489742783178,8.0,0.9803921568627451,0.1386483884679505,25.615384615384617,23.291666666666668,14.541920630415426,14.21114341712947,8.0,1.0,0.0,1.0,11.0,0.52,0.48,19.0,49.0,100.0,29.334490212546292,0
normal_conn_106,50,0.24014490216097903,2,443,208.20762610435486,270.8,52.0,40,270.8,52.0,40,157.6,40.0,40,384.0,79.0,40,7.304937839508085,206.8374960422516,206.83739590644836,206.8373351097107,8.665863871574402,8.668087462584177,4.249135226619487,41.321745256345366,41.321266586690484,29.241181669132576,0.05039322376251221,0.061262547969818115,0.0017118453979492188,25.0,25.0,50.0,14.0,16.0,16.0,14.0,2.494438257849294,8.333333333333334,0.9803921568627451,0.1386483884679505,25.32,23.68,14.504399332616293,14.310052410805488,9.0,1.0,0.0,1.0,11.0,0.5,0.5,20.0,49.0,100.0,754.0928747484875,0
normal_conn_109,50,1.1200431056628586,2,42986,44.64113903045654,350.34,65.5,40,350.34,65.5,40,96.83333333333333,40.0,40,584.3461538461538,229.0,40,0.6268911361694336,43.90622901916504,43.90622401237488,43.90616798400879,1.78095308303833,1.9409162583558455,0.9110436536827866,8.59889184706824,8.947162519492254,6.205902799276843,0.02882695198059082,0.06389188766479492,0.009479999542236328,26.0,24.0,50.0,15.0,15.0,17.0,13.0,3.559026084010437,8.0,0.9803921568627451,0.1386483884679505,25.46153846153846,23.458333333333332,14.765424188938493,13.985049060415276,10.0,1.0,0.0,1.0,11.0,0.52,0.48,21.0,49.0,100.0,160.20569001565065,0
normal_conn_11,50,5.7515557900379575,2,443,8.693300008773804,274.28,52.0,40,274.28,52.0,40,197.48,60.0,40,351.08,44.0,40,0.6800079345703125,0.6805319786071777,6.901500940322876,6.8992600440979,0.06987395882606506,0.3622208336989085,0.17741428589334293,0.14057935838732744,1.3706427298028978,0.9758523837073748,0.11757481098175049,0.12400120496749878,0.01671600341796875,25.0,25.0,50.0,14.0,16.0,15.0,15.0,3.0912061651652345,8.333333333333334,0.9803921568627451,0.1386483884679505,25.12,23.88,14.450799285852668,14.384213569048534,10.0,1.0,0.0,1.0,11.0,0.5,0.5,21.0,49.0,100.0,17.83616853271109,0
normal_conn_110,50,18.349351760101637,2,443,2.724891901016292,466.92,52.0,40,466.92,52.0,40,500.04,40.0,40,433.8,74.0,40,4.605974912643433,0.563687801361084,0.5640261173248291,0.563687801361084,0.10435332854588826,0.09380608797073364,0.0556100387962497,0.17491782283480484,0.1595497659972163,0.13494622770477357,0.09326368570327759,0.09273761510848999,0.004071950912475586,25.0,25.0,50.0,15.0,15.0,16.0,14.0,2.494438257849294,8.333333333333334,0.9803921568627451,0.1386483884679505,25.12,23.88,14.497779140268346,14.33686158125271,9.0,1.0,0.0,1.0,11.0,0.5,0.5,20.0,49.0,100.0,2.6046582436209067,0
normal_conn_111,50,90.61711964740958,2,42942,0.5517721176147461,649.58,112.0,40,649.58,112.0,40,91.73913043478261,40.0,40,1124.7777777777778,1436.0,1480,4.0901501178741455,0.15974998474121094,0.16104698181152344,0.15974998474121094,0.016808042159447305,0.02494295076890425,0.01126065546152543,0.04163787171185032,0.04893792847069876,0.03479997085449124,0.0035074949264526367,0.005180299282073975,0.0008859634399414062,27.0,23.0,50.0,15.0,15.0,17.0,13.0,2.6246692913372702,7.666666666666667,0.9803921568627451,0.1386483884679505,25.62962962962963,23.17391304347826,14.445678959590877,14.300052216119452,9.0,1.0,0.0,1.0,10.0,0.54,0.46,19.0,49.0,100.0,0.6685081283693307,0
normal_conn_112,50,96.61441021338858,2,40116,0.5175211429595947,658.44,112.0,40,658.44,112.0,40,90.82608695652173,40.0,40,1141.962962962963,1436.0,1480,19.372581005096436,0.11571288108825684,0.11713910102844238,0.11571288108825684,0.015491192157451924,0.023392547260631214,0.010561655978767239,0.03643265474252201,0.04418373150884301,0.03141589885113916,0.003607630729675293,0.006248950958251953,0.0010371208190917969,27.0,23.0,50.0,17.0,13.0,17.0,13.0,2.6246692913372702,7.666666666666667,0.9803921568627451,0.1386483884679505,25.296296296296298,23.565217391304348,14.554660230686492,14.22742632155759,9.0,1.0,0.0,1.0,10.0,0.54,0.46,19.0,49.0,100.0,0.5209362462113296,0
normal_conn_113,50,87.95863517553543,2,33540,0.5684490203857422,649.18,112.0,40,649.18,112.0,40,90.78260869565217,40.0,40,1124.851851851852,1392.0,1480,17.65700101852417,0.1620800495147705,0.1625528335571289,0.1620800495147705,0.017335231487567607,0.025679588317871094,0.011601000416035555,0.04246319554170536,0.049965641577132354,0.03554573118817992,0.003710150718688965,0.004580259323120117,0.0009961128234863281,27.0,23.0,50.0,15.0,15.0,17.0,13.0,2.6246692913372702,7.666666666666667,0.9803921568627451,0.1386483884679505,25.703703703703702,23.08695652173913,14.426864895985661,14.306924572990525,9.0,1.0,0.0,1.0,10.0,0.54,0.46,19.0,49.0,100.0,0.6785898439804573,0
normal_conn_114,50,92.28923647523796,2,38066,0.5417749881744385,648.98,112.0,40,648.98,112.0,40,90.73913043478261,40.0,40,1124.5185185185185,1436.0,1480,6.403326034545898,0.14394402503967285,0.14527201652526855,0.14394402503967285,0.016431423333974984,0.02450727332722057,0.011056632411723234,0.03957495074968662,0.047032822128577886,0.033440018658727165,0.0036925673484802246,0.006044447422027588,0.00096893310546875,27.0,23.0,50.0,15.0,15.0,17.0,13.0,2.6246692913372702,7.666666666666667,0.9803921568627451,0.1386483884679505,25.48148148148148,23.347826086956523,14.451375355206316,14.321187392027952,9.0,1.0,0.0,1.0,10.0,0.54,0.46,19.0,49.0,100.0,0.6159091350905012,0
normal_conn_116,50,2.9220952169771444,2,443,17.111009836196956,380.6,52.0,40,380.6,52.0,40,296.61538461538464,40.0,40,471.5833333333333,121.5,40,0.24540996551513672,6.337907075881958,6.337352991104126,6.337352991104126,0.7343569112860638,0.684440393447876,0.3492042823713653,1.7143078217442833,1.6531906286504772,1.2293784852344842,0.38608241081237793,0.3310739994049072,0.003718852996826172,24.0,26.0,50.0,15.0,15.0,14.0,16.0,1.8856180831641267,8.666666666666666,0.9803921568627451,0.1386483884679505,24.0,24.96153846153846,13.982131454109563,14.818078275774567,10.0,1.0,0.0,1.0,10.0,0.48,0.52,20.0,49.0,100.0,26.098366844038875,0
normal_conn_120,50,39.481680942988405,2,37016,1.2664101123809814,279.02,73.0,40,279.02,73.0,40,301.6363636363636,50.0,40,261.25,81.0,40,0.5085699558258057,0.3330569267272949,0.3337101936340332,0.3330569267272949,0.03818466928270128,0.060305243446713404,0.025845104334305743,0.08134342176957633,0.09619324485638944,0.06931546213539726,0.024120092391967773,0.0412139892578125,0.00893092155456543,28.0,22.0,50.0,14.0,16.0,19.0,11.0,3.2998316455372216,7.333333333333333,0.9803921568627451,0.1386483884679505,27.0,21.318181818181817,14.650694766558244,13.492039281255527,8.0,1.0,0.0,1.0,11.0,0.56,0.44,19.0,49.0,100.0,1.4452761961180522,0
normal_conn_124,50,31.622189719387737,2,443,1.5811681747435955,247.26,65.5,40,247.26,65.5,40,94.64,60.0,40,399.88,71.0,40,0.008172988891601562,0.32594799995422363,0.3261590003967285,0.32594799995422363,0.05652395884195963,0.06588200728098552,0.032268738260074536,0.09530859003092254,0.09937362162682127,0.07522342490471619,0.09646052122116089,0.12305039167404175,0.003307819366455078,25.0,25.0,50.0,15.0,15.0,16.0,14.0,2.494438257849294,8.333333333333334,0.9803921568627451,0.1386483884679505,24.88,24.12,13.937919500413251,14.897838769432296,9.0,1.0,0.0,1.0,11.0,0.5,0.5,20.0,49.0,100.0,1.625454073512313,0
normal_conn_13,50,97.87417942391818,2,49774,0.5108599662781046,707.32,471.5,40,707.32,471.5,40,91.63636363636364,40.0,40,1191.0714285714287,1436.0,1480,4.299432992935209,0.14467096328735352,0.14533495903015137,0.14467096328735352,0.014583260924727828,0.02403576033455985,0.010425713597511758,0.03830388142331298,0.047418545150119944,0.03308958072370684,0.0028624534606933594,0.006331205368041992,0.00026988983154296875,28.0,22.0,50.0,16.0,14.0,17.0,13.0,3.0912061651652345,7.333333333333333,0.9803921568627451,0.1386483884679505,26.285714285714285,22.227272727272727,14.740268321983887,13.694497296299236,9.0,1.0,0.0,1.0,10.0,0.56,0.44,19.0,49.0,100.0,0.6119971764190759,0
normal_conn_142,50,44.10937490798067,2,56823,1.1335458755493164,563.56,60.0,40,563.56,60.0,40,146.69565217391303,40.0,40,918.6666666666666,1480.0,1480,6.701493978500338,0.3934919834136963,0.38614511489868164,0.38614511489868164,0.0383760745708759,0.05152281847867099,0.023133589296924825,0.0981648610626711,0.10513440505139297,0.07482827423413801,0.001430809497833252,0.017008483409881592,0.0004050731658935547,27.0,23.0,50.0,15.0,15.0,18.0,12.0,2.494438257849294,7.666666666666667,0.9803921568627451,0.1386483884679505,25.185185185185187,23.695652173913043,14.068712429008949,14.804331864895948,7.0,1.0,0.0,1.0,11.0,0.54,0.46,18.0,49.0,100.0,1.5757866019793416,0
normal_conn_147,50,44.85801232874925,2,49304,1.1146280765533447,574.38,71.0,40,574.38,71.0,40,87.8695652173913,40.0,40,988.8148148148148,1400.0,1480,17.74450397491458,0.3297710418701172,0.3322420120239258,0.3297710418701172,0.033987925602839544,0.050196593458002266,0.02274751176639479,0.07821076804377496,0.09321811796919945,0.06650498830323447,0.011218249797821045,0.025833964347839355,0.002933025360107422,27.0,23.0,50.0,15.0,15.0,18.0,12.0,3.39934634239519,7.666666666666667,0.9803921568627451,0.1386483884679505,25.925925925925927,22.82608695652174,14.929280020163025,13.633884176256194,9.0,1.0,0.0,1.0,11.0,0.54,0.46,20.0,49.0,100.0,1.3766352404133735,0
normal_conn_148,50,1.4456023122501187,2,57152,34.58765912055969,233.72,65.5,40,233.72,65.5,40,114.0,79.0,40,344.2307692307692,40.0,40,13.308191061019869,18.36298108100891,18.362959146499634,18.36290717124939,1.3745536422729492,1.5038073477537737,0.7058705942971366,4.412729152455189,4.578492001143519,3.225082239701675,0.2244570255279541,0.23072898387908936,0.03552985191345215,26.0,24.0,50.0,15.0,15.0,17.0,13.0,2.943920288775949,8.0,0.9803921568627451,0.1386483884679505,25.53846153846154,23.375,14.11826631661913,14.679386056644194,9.0,1.0,0.0,1.0,11.0,0.52,0.48,20.0,49.0,100.0,71.38009823770267,0
normal_conn_15,50,80.87759521325725,2,443,0.618218183517456,624.68,52.0,40,624.68,52.0,40,87.08,40.0,40,1162.28,1392.0,1480,0.0012500286102294922,0.254885196685791,0.2541310787200928,0.2541310787200928,0.020983755588531494,0.025759090979894,0.012616697622805225,0.05806320214070346,0.06108134090247388,0.04435446713554214,0.002494633197784424,0.0021628141403198242,0.0003819465637207031,25.0,25.0,50.0,17.0,13.0,14.0,16.0,1.699673171197595,8.333333333333334,0.9803921568627451,0.1386483884679505,23.84,25.16,13.791823664766019,15.013806978911111,9.0,1.0,0.0,1.0,10.0,0.5,0.5,19.0,49.0,100.0,0.9910453023977517,0
