conn,total_connections,pkts_rate,unique_dports,most_common_dst_port,duration,mean_total_pkts,median_total_pkts,mode_total_pkts,mean_total_data,median_total_data,mode_total_data,mean_bytes_sent,median_bytes_sent,mode_bytes_sent,mean_bytes_recv,median_bytes_recv,mode_bytes_recv,gap_between_conns,max_in,max_out,max_total,avg_in,avg_out,avg_total,std_in,std_out,std_total,75th_percentile_in,75th_percentile_out,75th_percentile_total,nb_pkts_in,nb_pkts_out,nb_pkts_total,nb_pkts_in_f30,nb_pkts_out_f30,nb_pkts_in_l30,nb_pkts_out_l30,std_pkt_conc_out20,avg_pkt_conc_out20,avg_per_sec,std_per_sec,avg_order_in,avg_order_out,std_order_in,std_order_out,medconc,med_per_sec,min_per_sec,max_per_sec,maxconc,perc_in,perc_out,sum_altconc,sum_alt_per_sec,sum_number_pkts,sum_intertimestats,number
proxy_conn_1,50,1.1519477918192862,2,443,43.40474486351013,340.46,52.0,40,340.46,52.0,40,362.52,40.0,40,318.4,66.0,40,0.0064601898193359375,41.998075008392334,42.03856420516968,41.998075008392334,1.8028153777122498,1.8044007420539856,0.885811119663472,8.381601547100445,8.389716854707252,5.934328655037207,0.12803351879119873,0.1370905041694641,0.020857810974121094,25.0,25.0,50.0,15.0,15.0,16.0,14.0,3.0912061651652345,8.333333333333334,0.9803921568627451,0.1386483884679505,25.4,23.6,14.647866738880444,14.153444810363306,10.0,1.0,0.0,1.0,11.0,0.5,0.5,21.0,49.0,100.0,153.51937035216372,0
proxy_conn_2,50,1.2833004884437162,2,443,38.9620361328125,355.76,45.0,40,355.76,45.0,40,360.8,40.0,40,350.72,88.0,40,0.0,37.46956491470337,37.49093794822693,37.46956491470337,1.6175846656163533,1.6178633371988933,0.7951435945471939,7.476128688095244,7.480506252943114,5.293904849274597,0.1410515308380127,0.14135998487472534,0.010873079299926758,25.0,25.0,50.0,15.0,15.0,16.0,14.0,3.0912061651652345,8.333333333333334,0.9803921568627451,0.1386483884679505,25.36,23.64,14.791565163970985,14.008226154656413,10.0,1.0,0.0,1.0,11.0,0.5,0.5,21.0,49.0,100.0,137.0044837603217,0
proxy_conn_1,50,1.0738959866658522,2,443,46.55944395065305,371.04,52.0,40,371.04,52.0,40,384.76,40.0,40,357.32,88.0,40,0.0,43.738269090652466,43.74153995513916,43.738269090652466,1.9341987470785778,1.9238952100276947,0.9501927336867975,8.717877737158664,8.720529033592237,6.176976118918519,0.2099987268447876,0.1719263195991516,0.04046797752380371,25.0,25.0,50.0,15.0,15.0,16.0,14.0,3.0912061651652345,8.333333333333334,0.9803921568627451,0.1386483884679505,25.32,23.68,14.731517233469198,14.076135833388367,10.0,1.0,0.0,1.0,11.0,0.5,0.5,21.0,49.0,100.0,160.06414074087434,2
proxy_conn_3,50,0.6393004724597154,2,443,78.21048498153687,326.52,59.0,40,326.52,59.0,40,355.48,40.0,40,297.56,88.0,40,0.0,59.12033009529114,59.12090992927551,59.12033009529114,3.253122955560684,3.258770207564036,1.5961323465619768,12.08443084238245,12.085154000164435,8.61175187766379,0.31324368715286255,0.29823511838912964,0.09497499465942383,25.0,25.0,50.0,15.0,15.0,15.0,15.0,2.357022603955158,8.333333333333334,0.9803921568627451,0.1386483884679505,24.32,24.68,14.14134364195991,14.712498088360114,10.0,1.0,0.0,1.0,10.0,0.5,0.5,20.0,49.0,100.0,218.95738614995656,3
proxy_conn_1,50,0.8237622754318025,2,44705,60.69712281227109,257.02,62.0,40,257.02,62.0,40,288.34615384615387,40.0,40,223.08333333333334,86.0,40,0.02159595489499111,43.90912318229675,43.911946058273315,43.90912318229675,2.4224050712585448,2.638837430788123,1.2387167920871658,8.941361052199973,9.291416884924953,6.499960980393998,0.13839101791381836,0.14412999153137207,0.0977180004119873,26.0,24.0,50.0,15.0,15.0,15.0,15.0,2.160246899469287,8.0,0.9803921568627451,0.1386483884679505,24.807692307692307,24.166666666666668,14.652432800809855,14.179406036768803,9.0,1.0,0.0,1.0,10.0,0.52,0.48,19.0,49.0,100.0,163.14312964437676,4
proxy_conn_10,50,0.09242973431328165,2,44829,540.9514629840851,223.5,64.0,40,223.5,64.0,40,249.55172413793105,64.0,40,187.52380952380952,68.0,68,0.006494045257568359,60.08101987838745,60.08478879928589,60.08101987838745,19.312142142227717,24.04768019914627,11.03982577518541,28.000197027173144,29.35811620223009,23.22173104162555,59.97181487083435,60.00004678964615,0.21148300170898438,29.0,21.0,50.0,15.0,15.0,20.0,10.0,3.265986323710904,7.0,0.9803921568627451,0.1386483884679505,26.862068965517242,21.238095238095237,14.332803315883304,13.921223132855074,7.0,1.0,0.0,1.0,11.0,0.58,0.42,18.0,49.0,100.0,435.40986560583843,4
proxy_conn_100,50,0.27491738905184265,2,443,181.87281703948975,325.1,62.0,40,325.1,62.0,40,361.04,44.0,40,289.16,68.0,40,0.004194974899320414,60.00060701370239,60.00293207168579,60.00060701370239,7.572110543648402,7.578034043312073,3.711690143663056,19.788270163097984,19.786610558872493,14.356135367515366,0.2576029300689697,0.24430662393569946,0.07019186019897461,25.0,25.0,50.0,15.0,15.0,16.0,14.0,2.0548046676563256,8.333333333333334,0.9803921568627451,0.1386483884679505,24.56,24.44,13.911376639283404,14.932059469477075,8.0,1.0,0.0,1.0,11.0,0.5,0.5,19.0,49.0,100.0,253.36909833340363,4
proxy_conn_101,50,0.8248694728837168,2,50135,60.61565089225769,257.02,62.0,40,257.02,62.0,40,295.03846153846155,40.0,40,215.83333333333334,86.0,40,0.004827976226806641,44.48962593078613,44.490614891052246,44.48962593078613,2.4190351963043213,2.635332034981769,1.2370540998419937,9.028137576716167,9.3817720047066,6.5605630067860385,0.1416330337524414,0.18420743942260742,0.07355999946594238,26.0,24.0,50.0,15.0,15.0,15.0,15.0,2.160246899469287,8.0,0.9803921568627451,0.1386483884679505,24.807692307692307,24.166666666666668,14.652432800809855,14.179406036768803,9.0,1.0,0.0,1.0,10.0,0.52,0.48,19.0,49.0,100.0,165.13116114460237,4
proxy_conn_102,50,0.10395787747313821,2,50279,480.9640328884125,223.02,64.0,40,223.02,64.0,40,264.18518518518516,64.0,40,174.69565217391303,68.0,40,0.009745836257906149,60.11315202713013,60.11410689353943,60.11315202713013,18.49029223735516,21.86200149492784,9.815592507926786,27.651767218482142,28.807554166721065,22.1536316545495,59.90369486808777,59.99844604730606,0.11917304992675781,27.0,23.0,50.0,15.0,15.0,18.0,12.0,2.8674417556808756,7.666666666666667,0.9803921568627451,0.1386483884679505,26.185185185185187,22.52173913043478,14.44795778734717,14.15709858882413,8.0,1.0,0.0,1.0,11.0,0.54,0.46,19.0,49.0,100.0,429.1425641930827,4
proxy_conn_103,50,0.10398567115262469,2,58707,480.8354790210724,223.04,64.0,40,223.04,64.0,40,256.17857142857144,54.0,40,180.86363636363637,68.0,40,608.3041830062866,59.99896693229675,60.044142961502075,59.99896693229675,17.801022035104257,22.89682366734459,9.812968959613722,27.351871074478204,29.07553837046064,22.14822625760752,59.817859530448914,59.99970579147339,0.14163804054260254,28.0,22.0,50.0,15.0,15.0,18.0,12.0,3.0912061651652345,7.333333333333333,0.9803921568627451,0.1386483884679505,26.25,22.272727272727273,14.551938996966301,13.961576552621512,9.0,1.0,0.0,1.0,10.0,0.56,0.44,19.0,49.0,100.0,429.0877305531694,4
proxy_conn_104,50,0.10393225027843064,2,60439,481.0826270580292,223.02,64.0,40,223.02,64.0,40,264.18518518518516,64.0,40,174.69565217391303,68.0,40,0.0007541179656982422,60.075051069259644,60.07947897911072,60.075051069259644,18.492948880562416,21.867392139001325,9.818012797102636,27.653286572142857,28.80744738628221,22.154752534122654,59.91485869884491,59.99974167346954,0.13445210456848145,27.0,23.0,50.0,15.0,15.0,18.0,12.0,2.8674417556808756,7.666666666666667,0.9803921568627451,0.1386483884679505,26.185185185185187,22.52173913043478,14.44795778734717,14.15709858882413,8.0,1.0,0.0,1.0,11.0,0.54,0.46,19.0,49.0,100.0,429.07247390372703,4
proxy_conn_105,50,0.09241061266320402,2,56035,541.0633969306964,224.08,64.0,40,224.08,64.0,40,249.55172413793105,64.0,40,188.9047619047619,68.0,68,0.003731966018676758,60.017874002456665,60.041970014572144,60.017874002456665,19.31238842861993,27.05316984653473,11.042110141442746,27.979871078719814,29.780203427296183,23.20676947549835,59.98662608861923,60.00607252120972,0.2666618824005127,29.0,21.0,50.0,16.0,14.0,18.0,12.0,2.160246899469287,7.0,0.9803921568627451,0.1386483884679505,25.79310344827586,22.714285714285715,14.211164407496124,14.54105143621837,8.0,1.0,0.0,1.0,9.0,0.58,0.42,17.0,49.0,100.0,438.71159090982667,4
proxy_conn_106,50,0.6326693608242406,2,443,79.03022193908691,354.54,51.0,40,354.54,51.0,40,356.36,40.0,40,352.72,68.0,40,0.004897117614746094,59.82466793060303,59.82610893249512,59.82466793060303,3.286959042151769,3.2929222881793976,1.6128616722262636,12.253952308774203,12.255199856334244,8.73144157871796,0.14798206090927124,0.14565962553024292,0.012619972229003906,25.0,25.0,50.0,15.0,15.0,16.0,14.0,2.494438257849294,8.333333333333334,0.9803921568627451,0.1386483884679505,24.88,24.12,14.384213569048535,14.467397830985362,9.0,1.0,0.0,1.0,11.0,0.5,0.5,20.0,49.0,100.0,221.21504319875348,4
proxy_conn_107,50,0.3035708064142517,2,33927,164.70621991157532,255.84,62.0,40,255.84,62.0,40,289.38461538461536,54.0,40,219.5,64.0,40,0.0040318965911865234,59.999863147735596,60.00075697898865,59.999863147735596,6.582648077011108,7.1561150032541025,3.361351426766843,17.84586151602795,18.499737320088077,13.164210426346562,0.14751601219177246,0.14522314071655273,0.04480910301208496,26.0,24.0,50.0,15.0,15.0,17.0,13.0,2.943920288775949,8.0,0.9803921568627451,0.1386483884679505,25.846153846153847,23.041666666666668,14.761416201842682,13.917851745949239,9.0,1.0,0.0,1.0,11.0,0.52,0.48,20.0,49.0,100.0,246.9479552998749,4
proxy_conn_108,50,0.10401850657966946,2,42003,480.68369412422,223.0,64.0,40,223.0,64.0,40,256.17857142857144,54.0,40,180.77272727272728,68.0,40,0.00074005126953125,60.00145101547241,60.02194404602051,60.00145101547241,17.795285295557093,22.889600049881707,9.809871308657588,27.354379206717983,29.07999387741578,22.148765473112267,59.815041065216064,60.000569105148315,0.11905694007873535,28.0,22.0,50.0,15.0,15.0,19.0,11.0,3.2998316455372216,7.333333333333333,0.9803921568627451,0.1386483884679505,26.571428571428573,21.863636363636363,14.433167584789288,13.991216252756763,8.0,1.0,0.0,1.0,11.0,0.56,0.44,19.0,49.0,100.0,429.0374083987509,4
proxy_conn_109,50,0.10401165397605636,2,56301,480.7153630256671,223.06,64.0,40,223.06,64.0,40,256.17857142857144,54.0,40,180.9090909090909,68.0,40,623.3730089664462,60.01093006134033,60.0165069103241,60.01093006134033,17.796321630477905,22.89110619681222,9.81051761276868,27.359107073371064,29.08101180184518,22.152156599400445,59.83539164066315,60.00040793418884,0.12287402153015137,28.0,22.0,50.0,15.0,15.0,19.0,11.0,3.2998316455372216,7.333333333333333,0.9803921568627451,0.1386483884679505,26.571428571428573,21.863636363636363,14.433167584789288,13.991216252756763,8.0,1.0,0.0,1.0,11.0,0.56,0.44,19.0,49.0,100.0,429.08726154406236,4
proxy_conn_11,50,0.09245215074652156,2,33605,540.8203010559082,224.0,64.0,40,224.0,64.0,40,242.56666666666666,54.0,40,196.15,68.0,68,0.01612305641151579,60.006770849227905,60.010910987854004,60.006770849227905,18.63988344422702,28.46411011093541,11.037149001140984,27.72276511440515,29.889259327021016,23.20928167625855,59.99169993400574,60.000067949295044,0.26368117332458496,30.0,20.0,50.0,17.0,13.0,19.0,11.0,2.6246692913372702,6.666666666666667,0.9803921568627451,0.1386483884679505,26.033333333333335,22.2,14.202073401052711,14.465821787924805,8.0,1.0,0.0,1.0,9.0,0.6,0.4,17.0,49.0,100.0,439.24235041692333,4
proxy_conn_110,50,0.09244856576170687,2,44419,540.8412730693817,223.48,64.0,40,223.48,64.0,40,249.55172413793105,64.0,40,187.47619047619048,68.0,68,0.0009520053863525391,60.00660991668701,60.013298988342285,60.00660991668701,19.306231609412603,24.041793251037596,11.037577001415954,27.981251121980886,29.327595470044898,23.20694880455397,59.993968307971954,59.99950271844864,0.2667880058288574,29.0,21.0,50.0,15.0,15.0,19.0,11.0,2.943920288775949,7.0,0.9803921568627451,0.1386483884679505,26.586206896551722,21.61904761904762,14.509253269550175,13.813299976320925,8.0,1.0,0.0,1.0,10.0,0.58,0.42,18.0,49.0,100.0,435.18817511241167,4
proxy_conn_111,50,0.09245178527833225,2,49425,540.822438955307,223.54,64.0,40,223.54,64.0,40,249.55172413793105,64.0,40,187.61904761904762,68.0,68,1.8039608001708984,60.0004940032959,60.0056049823761,60.0004940032959,19.30559721163341,24.040993452072144,11.03719263174096,27.981447778750592,29.328301270032817,23.206965495171517,59.99403727054596,59.99902558326721,0.2657170295715332,29.0,21.0,50.0,15.0,15.0,20.0,10.0,3.265986323710904,7.0,0.9803921568627451,0.1386483884679505,26.82758620689655,21.285714285714285,14.381666887028947,13.870636532730906,7.0,1.0,0.0,1.0,11.0,0.58,0.42,18.0,49.0,100.0,435.165870711754,4
proxy_conn_112,50,1.9817318357037157,2,443,25.230457067489624,339.62,49.0,40,339.62,49.0,40,356.88,40.0,40,322.36,88.0,40,0.0017161369323730469,24.03575110435486,24.08001708984375,24.03575110435486,1.0455612937609355,1.0456367532412212,0.514907287091625,4.794216691820988,4.803408992083789,3.395328332696243,0.13459539413452148,0.1257217526435852,0.010215997695922852,25.0,25.0,50.0,15.0,15.0,16.0,14.0,3.0912061651652345,8.333333333333334,0.9803921568627451,0.1386483884679505,25.36,23.64,14.791565163970985,14.008226154656413,10.0,1.0,0.0,1.0,11.0,0.5,0.5,21.0,49.0,100.0,88.0211117937223,4
proxy_conn_113,50,0.6646896567221838,2,443,75.22307515144348,257.44,62.0,40,257.44,62.0,40,298.28,44.0,40,216.6,68.0,40,0.004746913909912109,59.836018085479736,59.83862590789795,59.836018085479736,3.128532956043879,3.134294797976812,1.5351647990090507,12.137318072933805,12.138503122837674,8.636637967276299,0.13763302564620972,0.13841819763183594,0.02294611930847168,25.0,25.0,50.0,15.0,15.0,15.0,15.0,2.357022603955158,8.333333333333334,0.9803921568627451,0.1386483884679505,24.08,24.92,13.838843882347977,14.987781690430376,10.0,1.0,0.0,1.0,10.0,0.5,0.5,20.0,49.0,100.0,220.52011113752144,4
proxy_conn_114,50,0.09245371344397753,2,53751,540.8111598491669,223.5,64.0,40,223.5,64.0,40,249.55172413793105,64.0,40,187.52380952380952,68.0,68,641.2164011001582,60.10813593864441,60.11161804199219,60.10813593864441,19.307154178619385,24.039498949050902,11.036962445901365,27.997627950627155,29.35232034764405,23.21895172059556,59.98694896697998,59.99869000911713,0.21084284782409668,29.0,21.0,50.0,15.0,15.0,20.0,10.0,3.265986323710904,7.0,0.9803921568627451,0.1386483884679505,26.82758620689655,21.285714285714285,14.381666887028947,13.870636532730906,7.0,1.0,0.0,1.0,11.0,0.58,0.42,18.0,49.0,100.0,435.4768873356406,4
proxy_conn_115,50,0.0924665895611756,2,48915,540.7358510494232,224.08,64.0,40,224.08,64.0,40,249.55172413793105,64.0,40,188.9047619047619,68.0,68,0.006963968277432286,60.07457494735718,60.078222036361694,60.07457494735718,19.30456021853856,27.036792552471162,11.035425531620882,27.99490319849448,29.80347940852986,23.216571696306637,59.98412674665451,59.99875718355179,0.20743203163146973,29.0,21.0,50.0,16.0,14.0,19.0,11.0,2.449489742783178,7.0,0.9803921568627451,0.1386483884679505,26.03448275862069,22.38095238095238,14.077330170613365,14.643302354826771,7.0,1.0,0.0,1.0,10.0,0.58,0.42,17.0,49.0,100.0,438.8094204988754,4
proxy_conn_116,50,0.09244004854888593,2,56393,540.8911049366016,223.5,64.0,40,223.5,64.0,40,249.55172413793105,64.0,40,187.52380952380952,68.0,68,0.001322031021118164,60.06403183937073,60.070075035095215,60.06403183937073,19.30813546691622,24.044634902477263,11.038593978297953,27.987930663840267,29.337155362912238,23.211971733154854,59.992861688137054,59.99968194961548,0.26331186294555664,29.0,21.0,50.0,15.0,15.0,20.0,10.0,3.265986323710904,7.0,0.9803921568627451,0.1386483884679505,26.82758620689655,21.285714285714285,14.381666887028947,13.870636532730906,7.0,1.0,0.0,1.0,11.0,0.58,0.42,18.0,49.0,100.0,435.3824163221335,4
proxy_conn_117,50,0.09244556750423938,2,41149,540.8588140010834,224.08,64.0,40,224.08,64.0,40,249.55172413793105,64.0,40,188.9047619047619,68.0,68,0.03477287292480469,60.027403831481934,60.032013177871704,60.027403831481934,19.30681664603097,27.042940700054167,11.037934979613947,27.986041109792808,29.78665083005901,23.21035717544627,59.995575964450836,60.00051176548004,0.2667980194091797,29.0,21.0,50.0,16.0,14.0,19.0,11.0,2.449489742783178,7.0,0.9803921568627451,0.1386483884679505,26.03448275862069,22.38095238095238,14.077330170613365,14.643302354826771,7.0,1.0,0.0,1.0,10.0,0.58,0.42,17.0,49.0,100.0,438.7204480311728,4
proxy_conn_118,50,0.6404862597954312,2,49697,78.06568717956543,324.8,62.0,40,324.8,62.0,40,333.11538461538464,42.0,40,315.7916666666667,77.5,40,0.0040740966796875,59.83160877227783,59.834418058395386,59.83160877227783,3.1170217609405517,3.394134573314501,1.5931772893788863,12.018277662608185,12.494795915989116,8.724228826224833,0.1416170597076416,0.14223051071166992,0.01897907257080078,26.0,24.0,50.0,15.0,15.0,16.0,14.0,2.8284271247461903,8.0,0.9803921568627451,0.1386483884679505,25.076923076923077,23.875,14.525635367867276,14.301260142612142,10.0,1.0,0.0,1.0,10.0,0.52,0.48,20.0,49.0,100.0,221.14209827439728,4
proxy_conn_119,50,0.19538346163003306,2,46327,255.90702295303345,299.1,64.0,40,299.1,64.0,40,299.0,42.0,40,299.2083333333333,68.0,40,0.0033969879150390625,60.00393581390381,60.006789207458496,60.00393581390381,10.2306680393219,11.126392302305803,5.222592305163948,21.887941309741958,22.601467256748556,16.44857673770864,0.2697911262512207,0.37303149700164795,0.043006181716918945,26.0,24.0,50.0,15.0,15.0,17.0,13.0,2.449489742783178,8.0,0.9803921568627451,0.1386483884679505,24.846153846153847,24.125,13.713251052827328,15.161113910263982,8.0,1.0,0.0,1.0,11.0,0.52,0.48,19.0,49.0,100.0,268.21812759122673,4
proxy_conn_12,50,0.09243909969463844,2,59021,540.8966569900513,223.5,64.0,40,223.5,64.0,40,249.55172413793105,64.0,40,187.52380952380952,68.0,68,644.7352590560913,60.02567410469055,60.05253791809082,60.02567410469055,19.3083393233163,24.04520720243454,11.03870728551125,27.98339551850485,29.335574144558446,23.208889942909668,59.97544127702713,59.99131315946579,0.2631559371948242,29.0,21.0,50.0,15.0,15.0,20.0,10.0,3.265986323710904,7.0,0.9803921568627451,0.1386483884679505,26.82758620689655,21.285714285714285,14.381666887028947,13.870636532730906,7.0,1.0,0.0,1.0,11.0,0.58,0.42,18.0,49.0,100.0,435.2539099183947,4
proxy_conn_120,50,0.0924708140470297,2,33117,540.7111477851868,224.08,64.0,40,224.08,64.0,40,249.55172413793105,64.0,40,188.9047619047619,68.0,68,0.003175973892211914,59.99932408332825,60.00496196746826,59.99932408332825,19.3035272870745,27.03555738925934,11.034921383371158,27.98758894955354,29.792922013092443,23.211281547927467,59.99383997917175,60.00013875961304,0.21146678924560547,29.0,21.0,50.0,16.0,14.0,19.0,11.0,2.449489742783178,7.0,0.9803921568627451,0.1386483884679505,26.03448275862069,22.38095238095238,14.077330170613365,14.643302354826771,7.0,1.0,0.0,1.0,10.0,0.58,0.42,17.0,49.0,100.0,438.57485423243355,4
proxy_conn_121,50,0.09246989856562006,2,36407,540.7165009975452,223.5,64.0,40,223.5,64.0,40,249.55172413793105,64.0,40,187.52380952380952,68.0,68,0.0048558712005615234,60.02574896812439,60.029711961746216,60.02574896812439,19.303886677537644,24.03586984872818,11.035030632602925,27.990319441508085,29.343335928734355,23.213281067982198,59.99378091096878,60.000361919403076,0.2076740264892578,29.0,21.0,50.0,15.0,15.0,20.0,10.0,3.265986323710904,7.0,0.9803921568627451,0.1386483884679505,26.82758620689655,21.285714285714285,14.381666887028947,13.870636532730906,7.0,1.0,0.0,1.0,11.0,0.58,0.42,18.0,49.0,100.0,435.2047503519495,4
proxy_conn_122,50,0.09244165623041305,2,34963,540.8816981315631,224.08,64.0,40,224.08,64.0,40,242.56666666666666,54.0,40,196.35,68.0,68,0.008508205414273107,60.01691389083862,60.02206301689148,60.01691389083862,18.642064069879467,28.467258102015446,11.038402002684924,27.722804833999838,29.888848639175695,23.209749941847388,59.99477219581604,60.00125801563263,0.2618401050567627,30.0,20.0,50.0,17.0,13.0,19.0,11.0,2.6246692913372702,6.666666666666667,0.9803921568627451,0.1386483884679505,26.033333333333335,22.2,14.202073401052711,14.465821787924805,8.0,1.0,0.0,1.0,9.0,0.6,0.4,17.0,49.0,100.0,439.28288870467696,4
proxy_conn_123,50,0.09244614625890345,2,38057,540.855427980423,223.5,64.0,40,223.5,64.0,40,249.55172413793105,64.0,40,187.52380952380952,68.0,68,0.002255916595004237,60.00377106666565,60.00826382637024,60.00377106666565,19.30673278229577,24.042804098129274,11.03786587715149,27.983347751966956,29.33079261588823,23.208494450109953,59.99467146396637,60.0004848241806,0.2669100761413574,29.0,21.0,50.0,15.0,15.0,20.0,10.0,3.265986323710904,7.0,0.9803921568627451,0.1386483884679505,26.82758620689655,21.285714285714285,14.381666887028947,13.870636532730906,7.0,1.0,0.0,1.0,11.0,0.58,0.42,18.0,49.0,100.0,435.1879098995315,4
proxy_conn_124,50,0.3727753260713585,2,443,134.12904906272888,327.62,62.0,40,327.62,62.0,40,359.6,40.0,40,295.64,68.0,40,0.0014700889587402344,60.00435495376587,60.006067991256714,60.00435495376587,5.578298131624858,5.588710377613704,2.737327531892426,16.545352065449624,16.54353301307095,11.909223558059292,0.1471349000930786,0.139118492603302,0.07652997970581055,25.0,25.0,50.0,15.0,15.0,15.0,15.0,2.357022603955158,8.333333333333334,0.9803921568627451,0.1386483884679505,24.36,24.64,14.158757007590744,14.696611854437744,10.0,1.0,0.0,1.0,10.0,0.5,0.5,20.0,49.0,100.0,239.2800059489015,4
proxy_conn_125,50,0.1040033636405854,2,46837,480.75368189811525,223.04,64.0,40,223.04,64.0,40,264.18518518518516,64.0,40,174.7391304347826,68.0,40,650.3248579502106,60.068387031555176,60.071467876434326,60.068387031555176,18.4824100457705,21.852440086278047,9.811299630573817,27.634335278750886,28.794842159931555,22.14049739155865,59.81762516498566,59.982407331466675,0.11727690696716309,27.0,23.0,50.0,15.0,15.0,17.0,13.0,2.6246692913372702,7.666666666666667,0.9803921568627451,0.1386483884679505,25.703703703703702,23.08695652173913,14.483233767244556,14.239910366957343,9.0,1.0,0.0,1.0,10.0,0.54,0.46,19.0,49.0,100.0,428.8413759358276,4
