query,rcode,id.resp_h
joalwnna,2.0,10.0.2.3
joalwnna,2.0,10.0.2.3
joalwnna,2.0,10.0.2.3
joalwnna,2.0,10.0.2.3
faphwttx,2.0,10.0.2.3
faphwttx,2.0,10.0.2.3
faphwttx,2.0,10.0.2.3
mjjuwnroaeoq,2.0,10.0.2.3
faphwttx,2.0,10.0.2.3
mjjuwnroaeoq,2.0,10.0.2.3
mjjuwnroaeoq,2.0,10.0.2.3
mjjuwnroaeoq,2.0,10.0.2.3
perr.lum-sdk.io,,10.0.2.3
perr.lum-sdk.io,,10.0.2.3
perr.l-err.biz,,10.0.2.3
mtalk.google.com,,10.0.2.3
perr.lum-sdk.io,,10.0.2.3
fonts.gstatic.com,,10.0.2.3
play.googleapis.com,,10.0.2.3
android.apis.google.com,,10.0.2.3
android.apis.google.com,,10.0.2.3
www.googletagmanager.com,,10.0.2.3
www.googleapis.com,,10.0.2.3
accounts.youtube.com,,10.0.2.3
accounts.youtube.com,,10.0.2.3
perr.lum-sdk.io,,10.0.2.3
rr3---sn-25glenl6.gvt1.com,,10.0.2.3
perr.lum-sdk.io,,10.0.2.3
perr.lum-sdk.io,,10.0.2.3
accounts.youtube.com,,10.0.2.3
play.google.com,,10.0.2.3
rr3---sn-25glenl6.gvt1.com,,10.0.2.3
xualmid,2.0,10.0.2.3
haurmhd,2.0,10.0.2.3
xualmid,2.0,10.0.2.3
haurmhd,2.0,10.0.2.3
xualmid,2.0,10.0.2.3
haurmhd,2.0,10.0.2.3
xualmid,2.0,10.0.2.3
haurmhd,2.0,10.0.2.3
qakjvpakqyb,2.0,10.0.2.3
qakjvpakqyb,2.0,10.0.2.3
qakjvpakqyb,2.0,10.0.2.3
qakjvpakqyb,2.0,10.0.2.3
beacons.gcp.gvt2.com,,10.0.2.3
rr3---sn-25ge7nzk.gvt1.com,,10.0.2.3
rr3---sn-25ge7nzk.gvt1.com,,10.0.2.3
time.google.com,,10.0.2.3
mtalk.google.com,,10.0.2.3
rr5---sn-25ge7nsk.gvt1.com,,10.0.2.3
_meshcop._udp.local,,224.0.0.251
_meshcop._udp.local,,224.0.0.251
_meshcop._udp.local,,224.0.0.251
jfhqhsrqjjvu,2.0,10.0.2.3
jfhqhsrqjjvu,2.0,10.0.2.3
dxshhmudd,2.0,10.0.2.3
jfhqhsrqjjvu,2.0,10.0.2.3
dxshhmudd,2.0,10.0.2.3
jfhqhsrqjjvu,2.0,10.0.2.3
dwzlhka,2.0,10.0.2.3
dxshhmudd,2.0,10.0.2.3
dxshhmudd,2.0,10.0.2.3
dwzlhka,2.0,10.0.2.3
dwzlhka,2.0,10.0.2.3
dwzlhka,2.0,10.0.2.3
