go.mnaspm.com - Category: {}, Combined Score: 1
bootymotiontv.co - Category: {'alphaMountain.ai': 'Pornography (alphaMountain.ai)'}, Combined Score: 0
queue.fnacdarty.com - Category: {}, Combined Score: 0
www.erfo.it - Category: {}, Combined Score: 0
finodha.in - Category: {}, Combined Score: 0
www.coollex.com - Category: {}, Combined Score: 0
www.ubuy.com.tr - Category: {}, Combined Score: 0
scontent.fdoh7-1.fna.fbcdn.net - Category: {}, Combined Score: 0
www.google.com.br - Category: {}, Combined Score: 0
juusho.com - Category: {}, Combined Score: 0
neutraljump.xyz - Category: {}, Combined Score: 2
orchedia-s.com - Category: {}, Combined Score: 0
www.sekaniwigs.com.br - Category: {}, Combined Score: 0
www.architettogiuseppelodato.it - Category: {}, Combined Score: 0
www.online-advertising-76225.bond - Category: {}, Combined Score: 0
user-content-gw-hermes.hepsiburada.com - Category: {}, Combined Score: 0
investors.emera.com - Category: {}, Combined Score: 1
bayareablanks.com - Category: {}, Combined Score: 0
app.launchdarkly.com - Category: {}, Combined Score: 0
profile-images.xing.com - Category: {}, Combined Score: 0
alq.corallcrate.com - Category: {}, Combined Score: 0
www.aacargo.com - Category: {}, Combined Score: 0
www.online-advertising-12982.bond - Category: {}, Combined Score: 0
productimages.hepsiburada.net - Category: {}, Combined Score: 0
www.wantaghmazda.com - Category: {}, Combined Score: 0
forbes.com.br - Category: {'alphaMountain.ai': 'News (alphaMountain.ai)'}, Combined Score: 0
karabukgundem.com - Category: {}, Combined Score: 0
s.amazon-adsystem.com - Category: {'alphaMountain.ai': 'Ads/Analytics (alphaMountain.ai)', 'BitDefender': 'ads', 'Xcitium Verdict Cloud': 'computing & technology', 'Sophos': 'advertisements', 'Forcepoint ThreatSeeker': 'advertisements'}, Combined Score: 0
www.interparfumsinc.com - Category: {}, Combined Score: 0
gtascic.co.uk - Category: {}, Combined Score: 0
cdn.awsli.com.br - Category: {}, Combined Score: 0
lyora-beauty.com - Category: {}, Combined Score: 0
match.sharethrough.com - Category: {}, Combined Score: 0
mcs-va.tiktokv.com - Category: {}, Combined Score: 0
rms-hop.com - Category: {}, Combined Score: 0
fairygoodcopy.com - Category: {}, Combined Score: 0
www.niquele.com.br - Category: {}, Combined Score: 0
netdna.bootstrapcdn.com - Category: {}, Combined Score: 0
tsantes.gr - Category: {}, Combined Score: 0
www.lazada.com.my - Category: {}, Combined Score: 0
estacaocultural.com.br - Category: {}, Combined Score: 0
www.mdcleaningsolutions.net - Category: {}, Combined Score: 0
ecomapi.jewels.com - Category: {}, Combined Score: 0
assets.scrippsdigital.com - Category: {}, Combined Score: 0
oajs.openx.net - Category: {}, Combined Score: 0
presentforyou24.de - Category: {'Xcitium Verdict Cloud': 'unknown'}, Combined Score: 0
zoroalteedrich.net - Category: {}, Combined Score: 13
cdn.hadronid.net - Category: {'BitDefender': 'parked', 'Sophos': 'content delivery', 'Forcepoint ThreatSeeker': 'web infrastructure'}, Combined Score: 0
www.acheipneus.com.br - Category: {}, Combined Score: 0
aaj-adv.com - Category: {'Forcepoint ThreatSeeker': 'newly registered websites'}, Combined Score: 0
02179918.akstat.io - Category: {}, Combined Score: 0
anitisrammiste.com - Category: {}, Combined Score: 0
hgy2n0ksufro2j3y4ubhiliouxbl54lcxusqh35dfaf0821a68d3da87am1.e.aa.online-metrix.net - Category: {}, Combined Score: 0
media.tradeholding.com - Category: {}, Combined Score: 0
mowglisaudi.com - Category: {}, Combined Score: 0
goldberg-tattoo.de - Category: {}, Combined Score: 1
io.vtex.com.br - Category: {}, Combined Score: 0
lf16-tiktok-common.ibytedtos.com - Category: {}, Combined Score: 0
androidechilango.com - Category: {}, Combined Score: 0
