subfolder_name,set
mixed_27_12_2024_17_48_05_medium,train
mixed_04_01_2025_02_50_14_medium,train
mixed_27_12_2024_01_45_20_high,train
mixed_03_01_2025_17_53_58_low,train
mixed_27_12_2024_19_34_41_medium,train
mixed_01_01_2025_17_44_52_low,train
mixed_31_12_2024_06_12_23_medium,train
mixed_03_01_2025_13_59_38_medium,train
mixed_05_01_2025_00_16_01_high,train
mixed_02_01_2025_12_01_48_medium,train
mixed_05_01_2025_01_04_28_medium,train
mixed_02_01_2025_06_09_38_low,train
mixed_04_01_2025_00_18_06_low,train
mixed_29_12_2024_09_16_06_medium,train
mixed_30_12_2024_14_01_56_low,train
mixed_01_01_2025_04_30_20_low,train
mixed_02_01_2025_06_08_10_low,train
mixed_03_01_2025_20_02_02_medium,train
mixed_05_01_2025_02_54_54_low,train
mixed_29_12_2024_11_24_11_high,train
mixed_29_12_2024_22_05_16_medium,train
mixed_31_12_2024_04_59_41_medium,train
mixed_02_01_2025_04_49_19_medium,train
mixed_31_12_2024_13_53_34_medium,train
mixed_26_12_2024_09_50_07_medium,train
mixed_01_01_2025_10_54_44_low,train
mixed_31_12_2024_09_16_08_low,train
mixed_31_12_2024_10_29_25_low,train
mixed_29_12_2024_03_36_31_medium,train
mixed_29_12_2024_13_32_22_low,train
mixed_03_01_2025_15_45_57_high,train
mixed_25_12_2024_19_43_12_high,train
mixed_05_01_2025_08_58_05_low,train
mixed_05_01_2025_05_06_52_medium,train
mixed_03_01_2025_11_06_27_medium,test
mixed_01_01_2025_18_11_46_low,test
mixed_27_12_2024_00_45_04_high,test
mixed_27_12_2024_23_06_39_low,test
mixed_26_12_2024_00_55_37_high,test
mixed_31_12_2024_04_03_37_low,test
mixed_02_01_2025_02_01_11_high,test
mixed_28_12_2024_11_55_04_low,test
mixed_26_12_2024_18_21_27_high,test
mixed_02_01_2025_04_49_19_medium,test
mixed_03_01_2025_22_10_01_high,test
mixed_02_01_2025_02_41_17_low,test
mixed_24_12_2024_21_06_55_medium,test
mixed_31_12_2024_12_37_50_medium,test
mixed_29_12_2024_16_40_16_high,val
mixed_27_12_2024_23_02_02_medium,val
mixed_30_12_2024_22_34_57_medium,val
mixed_28_12_2024_01_14_42_medium,val
mixed_02_01_2025_03_59_56_high,val
mixed_27_12_2024_06_45_51_medium,val
mixed_31_12_2024_09_45_14_low,val
mixed_01_01_2025_06_38_37_medium,val
mixed_01_01_2025_17_19_01_low,val
mixed_26_12_2024_22_37_14_medium,val
mixed_02_01_2025_18_34_03_low,val
mixed_27_12_2024_21_42_46_high,val
mixed_31_12_2024_02_51_27_low,val
mixed_28_12_2024_19_42_01_low,val
